date,open,high,low,close,volume
2025-07-01,1385.04,1387.98,1379.35,1381.14,19878
2025-07-02,1385.54,1390.84,1376.04,1385.64,26218
2025-07-03,1388.04,1398.73,1384.04,1391.64,24413
2025-07-04,1391.74,1407.93,1386.05,1398.26,28767
2025-07-07,1398.32,1399.54,1386.05,1386.74,23855
2025-07-08,1386.75,1396.04,1386.74,1392.15,18674
2025-07-09,1391.04,1406.01,1390.21,1394.92,27745
2025-07-10,1395.01,1412.22,1386.44,1402.54,38725
2025-07-11,1399.2,1434.04,1399.2,1403.04,57243
2025-07-14,1406.04,1411.02,1397.64,1399.64,27781
2025-07-15,1397.02,1398.97,1384.36,1387.04,35406
2025-07-16,1386.05,1393.53,1385.99,1387.07,21286
2025-07-17,1390.02,1399.05,1388.92,1392.39,23106
2025-07-18,1396.04,1413.85,1392.42,1413.04,41823
2025-07-21,1413.03,1422.84,1411.04,1419.04,26203
2025-07-22,1420.04,1442.64,1416.72,1441.02,42119
2025-07-23,1445.04,1471.04,1444.99,1451.54,45045
2025-07-24,1452.04,1475.04,1451.04,1467.54,38804
2025-07-25,1467.44,1467.44,1429.04,1431.04,41911
2025-07-28,1429.04,1431.03,1412.34,1414.7,38586
2025-07-29,1415.64,1424.83,1411.05,1415.04,26304
2025-07-30,1420.04,1433.2,1413.04,1425.48,31868
2025-07-31,1419.04,1420.91,1394.04,1397.71,51798
2025-08-01,1397.91,1402.0,1390.04,1393.04,29636
2025-08-04,1391.04,1395.84,1390.04,1395.04,18688
2025-08-05,1397.04,1405.98,1393.15,1403.78,25342
2025-08-06,1405.04,1405.04,1395.34,1399.92,23699
2025-08-07,1399.92,1403.74,1396.1,1398.39,28001
2025-08-08,1399.09,1402.54,1394.04,1397.01,18655
2025-08-11,1399.54,1428.03,1399.04,1421.04,47159
2025-08-12,1425.04,1441.11,1412.04,1413.08,42019
2025-08-13,1401.04,1409.72,1396.04,1396.09,65528
2025-08-14,1396.98,1423.55,1396.98,1403.03,48129
2025-08-15,1402.05,1404.7,1396.26,1398.12,47582
2025-08-18,1403.03,1412.68,1399.14,1404.54,47378
2025-08-19,1409.54,1422.7,1408.04,1414.04,46372
2025-08-20,1414.04,1428.84,1406.06,1426.04,45805
2025-08-21,1429.49,1431.03,1419.69,1424.29,30891
2025-08-22,1424.92,1440.04,1420.81,1439.99,44971
2025-08-25,1446.05,1472.04,1442.04,1466.37,65325
2025-08-26,1466.36,1470.27,1456.05,1457.65,39602
2025-08-27,1457.92,1460.97,1424.04,1424.04,56006
2025-08-28,1424.01,1432.14,1414.81,1422.14,39282
2025-08-29,1429.04,1458.62,1428.04,1456.04,62256
2025-09-01,1458.24,1464.04,1441.74,1452.14,45123
2025-09-02,1454.7,1485.04,1454.04,1467.34,56688
2025-09-03,1467.04,1479.54,1442.04,1456.59,45045
2025-09-04,1448.04,1455.34,1436.51,1448.7,47747
2025-09-05,1447.04,1463.01,1440.04,1459.04,37388
2025-09-08,1459.04,1482.48,1453.54,1477.27,51383
2025-09-09,1481.04,1485.99,1469.46,1481.04,35743
2025-09-10,1482.7,1505.99,1472.04,1498.05,49663
2025-09-11,1498.05,1502.06,1484.54,1499.54,37239
2025-09-12,1502.04,1514.06,1486.57,1492.04,33722
2025-09-15,1491.91,1493.52,1477.54,1491.14,25827
2025-09-16,1491.14,1497.03,1472.25,1476.02,32718
2025-09-17,1476.03,1486.32,1466.05,1469.04,30331
2025-09-18,1468.04,1473.84,1439.54,1444.0,49721
2025-09-19,1444.03,1451.54,1433.05,1444.01,32637
2025-09-22,1441.13,1444.01,1426.05,1429.39,34947
2025-09-23,1426.54,1433.54,1416.04,1423.46,38663
2025-09-24,1410.11,1432.82,1410.11,1418.04,30744
2025-09-25,1418.87,1421.25,1412.04,1415.04,33870
2025-09-26,1417.22,1423.15,1404.05,1411.04,45121
2025-09-29,1415.42,1446.03,1411.04,1436.9,53684
2025-09-30,1436.04,1436.8,1416.04,1420.03,39364
2025-10-09,1412.04,1415.42,1396.04,1412.82,54918
2025-10-10,1413.64,1415.98,1403.54,1406.04,36001
2025-10-13,1391.74,1398.89,1391.16,1395.24,46069
2025-10-14,1406.03,1440.04,1406.03,1427.06,66672
2025-10-15,1427.02,1439.04,1421.12,1438.04,42785
2025-10-16,1437.96,1460.99,1434.92,1460.95,45730
2025-10-17,1459.14,1464.04,1430.07,1431.04,38086
2025-10-20,1431.04,1445.54,1430.92,1433.97,25950
2025-10-21,1435.04,1445.98,1431.54,1438.3,25443
2025-10-22,1438.12,1441.77,1432.04,1434.74,18195
2025-10-23,1431.04,1444.84,1423.24,1444.02,29322
2025-10-24,1443.99,1454.92,1425.38,1426.04,38226
2025-10-27,1416.04,1428.53,1412.03,1416.45,37102
2025-10-28,1418.04,1427.24,1417.14,1421.04,27124
2025-10-29,1416.06,1422.59,1406.08,1407.94,33937
2025-10-30,1397.85,1412.67,1397.85,1402.78,47456
2025-10-31,1398.04,1412.02,1396.15,1406.05,35694
2025-11-03,1407.04,1424.04,1396.14,1411.04,34548
2025-11-04,1411.14,1411.82,1399.82,1405.04,26566
2025-11-05,1401.93,1407.03,1396.05,1396.12,34475
2025-11-06,1406.04,1417.49,1406.03,1411.17,38348
2025-11-07,1411.15,1415.82,1407.15,1409.37,18861
2025-11-10,1411.04,1439.73,1411.02,1438.34,49452
2025-11-11,1438.04,1438.22,1423.04,1435.03,26692
2025-11-12,1436.02,1454.4,1435.25,1441.19,32992
2025-11-13,1438.16,1449.62,1434.04,1446.42,31179
2025-11-14,1446.04,1454.99,1432.34,1432.64,27473
2025-11-17,1430.04,1449.04,1421.83,1447.04,34462
2025-11-18,1446.74,1462.11,1445.04,1452.04,34205
2025-11-19,1450.04,1455.57,1446.0,1447.05,22045
2025-11-20,1448.04,1455.94,1441.07,1443.15,24002
2025-11-21,1446.54,1456.04,1432.04,1442.64,42607
2025-11-24,1443.04,1447.04,1427.17,1428.04,33607
2025-11-25,1434.04,1434.04,1420.54,1420.69,28441
