date,open,high,low,close,volume
2025-07-01,107.06,107.24,106.25,106.55,63463
2025-07-02,106.55,108.3,106.55,106.85,93886
2025-07-03,106.86,107.97,106.47,106.95,69674
2025-07-04,106.65,108.42,106.55,107.98,85341
2025-07-07,107.98,108.32,107.1,107.28,63127
2025-07-08,107.1,108.11,106.85,108.05,75444
2025-07-09,107.95,109.72,107.71,108.41,101739
2025-07-10,108.15,110.94,107.85,110.71,127486
2025-07-11,109.94,113.63,109.93,113.15,185515
2025-07-14,112.55,114.6,112.01,114.02,109032
2025-07-15,112.87,113.83,112.41,113.0,93614
2025-07-16,112.75,115.59,112.64,114.74,88930
2025-07-17,114.16,115.55,113.53,114.7,82057
2025-07-18,114.71,119.93,114.19,118.85,173734
2025-07-21,118.55,119.06,117.4,117.8,84260
2025-07-22,117.78,123.71,117.78,123.43,167830
2025-07-23,123.43,124.8,122.05,122.43,110759
2025-07-24,122.44,122.63,121.05,122.24,83642
2025-07-25,122.25,122.44,118.05,118.88,120160
2025-07-28,118.65,119.04,116.44,118.09,111676
2025-07-29,117.93,118.66,116.74,118.35,73591
2025-07-30,118.35,122.18,118.35,121.14,132828
2025-07-31,120.68,120.68,116.75,116.95,110878
2025-08-01,116.75,117.33,115.82,117.11,69481
2025-08-04,117.35,118.35,116.67,118.1,59022
2025-08-05,118.14,121.54,118.13,121.06,94192
2025-08-06,120.91,122.04,120.33,121.63,56044
2025-08-07,121.23,123.54,121.23,122.45,94115
2025-08-08,122.5,122.5,119.52,120.79,80899
2025-08-11,120.86,124.84,120.86,124.72,113933
2025-08-12,124.72,129.33,123.66,124.07,173525
2025-08-13,124.04,125.25,122.65,124.4,90706
2025-08-14,124.4,126.27,123.17,123.32,86956
2025-08-15,122.54,123.83,121.8,123.34,86489
2025-08-18,123.3,124.75,122.84,123.47,100872
2025-08-19,123.44,127.21,122.89,125.04,150263
2025-08-20,124.34,131.14,124.32,128.95,228751
2025-08-21,129.09,130.56,127.92,128.29,100270
2025-08-22,128.28,129.44,127.41,129.33,89995
2025-08-25,131.14,137.64,130.24,137.63,214624
2025-08-26,136.64,141.64,135.46,139.47,178178
2025-08-27,138.44,138.46,131.86,132.46,200285
2025-08-28,131.44,133.3,129.14,132.36,123750
2025-08-29,132.58,137.22,132.54,135.83,144163
2025-09-01,134.64,135.78,132.84,134.49,118466
2025-09-02,134.39,139.72,133.92,135.69,162853
2025-09-03,136.11,139.44,132.65,134.23,103013
2025-09-04,133.64,134.27,130.84,132.73,96824
2025-09-05,132.72,134.87,131.15,134.54,81919
2025-09-08,134.64,138.64,134.07,138.52,142165
2025-09-09,138.05,139.2,136.24,138.95,96288
2025-09-10,138.94,141.01,136.36,138.22,124667
2025-09-11,137.64,139.53,136.94,139.1,92789
2025-09-12,139.1,142.92,137.54,137.64,106559
2025-09-15,137.03,138.44,136.34,137.74,70593
2025-09-16,137.82,138.1,135.54,137.09,61040
2025-09-17,136.64,137.74,135.01,135.64,69887
2025-09-18,135.69,136.22,131.16,132.34,116950
2025-09-19,131.64,133.92,130.59,133.49,85421
2025-09-22,133.14,133.72,130.52,132.22,80941
2025-09-23,132.21,133.11,130.64,131.25,61268
2025-09-24,130.85,131.64,129.96,130.55,62621
2025-09-25,130.49,130.82,128.08,128.1,97122
2025-09-26,127.47,127.94,125.45,126.22,127106
2025-09-29,127.46,132.41,126.64,131.7,160233
2025-09-30,130.79,132.34,128.69,130.56,102552
2025-10-09,128.66,129.37,125.7,128.5,124873
2025-10-10,127.99,129.29,127.24,127.51,79501
2025-10-13,125.64,126.64,125.34,125.94,77873
2025-10-14,126.64,132.3,125.59,131.29,185602
2025-10-15,130.34,134.38,130.1,133.26,114131
2025-10-16,132.44,135.94,132.44,135.69,106303
2025-10-17,135.19,136.28,133.49,133.64,78753
2025-10-20,133.64,133.72,131.14,131.79,81473
2025-10-21,131.64,134.93,131.22,132.85,78262
2025-10-22,132.59,134.93,132.15,133.31,56223
2025-10-23,132.62,135.44,131.92,135.22,77746
2025-10-24,134.64,134.95,128.54,128.88,156930
2025-10-27,127.64,129.94,127.24,128.04,94157
2025-10-28,128.03,131.37,127.99,129.13,71594
2025-10-29,129.04,129.53,127.53,128.51,57852
2025-10-30,128.14,130.82,127.64,128.52,79144
2025-10-31,128.97,135.54,128.97,133.18,190636
2025-11-03,132.62,135.19,130.96,133.68,99529
2025-11-04,133.67,133.74,130.83,131.74,67967
2025-11-05,130.64,133.32,130.1,130.81,61643
2025-11-06,132.04,133.14,130.3,130.54,67850
2025-11-07,130.09,131.86,130.04,130.29,53887
2025-11-10,130.29,142.21,129.74,141.13,284698
2025-11-11,139.64,141.06,137.09,140.28,161292
